run,apogee_m,impact_x_m,impact_y_m,wind_scale,thrust_scale,dry_mass_scale,aero_scale,sensor_bias_scale,thrust_misalignment_deg,cg_offset_m,mean_nees,mean_nis,impact_valid
0,11.3985,-42.1278,-5.92193,1.15258,0.992899,0.984655,1.00628,1.00486,0.246613,-0.0023934,0,0,1
1,6.72922,23.835,1.05349,1.00094,0.987614,1.00138,1.02921,1.24504,-0.0833747,-0.00141602,0,0,1
2,10.3606,-36.8174,-1.787,1.30151,0.954495,1.00721,1.02483,1.26442,0.0643437,0.000661944,0,0,1
3,7.78637,-27.8469,-2.70654,1.20812,0.963716,0.99615,1.04575,0.971638,0.179256,-0.000620665,0,0,1
4,43.984,156.854,3.41835,0.804658,1.01513,1.0174,1.01784,1.04582,-0.00742495,-0.000309882,0,0,1
5,70.6931,-266.311,36.2904,1.115,1.00897,1.01448,1.00086,0.963469,-0.0611881,0.00139284,0,0,1
6,4.88918,17.4288,1.49657,0.931595,0.985336,0.99596,1.01704,0.968927,-0.218384,-0.000234971,0,0,1
7,7.95718,28.3779,1.90223,0.525986,0.993719,0.993067,1.00609,0.92552,-0.115603,-0.000476912,0,0,1
8,99.1654,-371.502,-50.6426,0.802148,1.02476,0.991226,0.975985,1.07412,0.0424889,-0.000501766,0,0,1
9,35.1354,-131.867,-18.2603,0.833305,0.980018,1.00895,0.962927,0.758054,0.109443,-0.00128454,0,0,1
10,85.3212,-320.532,43.7536,0.907483,1.01155,1.00545,1.02014,0.780458,-0.0480475,0.00110757,0,0,1
11,76.59,279.815,-30.1754,1.12501,1.00229,1.00255,0.996076,0.768567,0.0262035,-0.000724693,0,0,1
12,8.15285,-29.0909,-2.07555,1.07088,0.996032,1.00007,1.03952,1.00289,0.121487,0.000302493,0,0,1
13,28.5019,102.75,-6.1148,0.778689,1.04963,1.0029,1.00139,1.12407,0.0333768,-0.00130425,0,0,1
14,11.4743,-41.2828,-4.04831,1.0295,0.99009,0.995295,0.985274,0.929607,0.135314,-0.000604536,0,0,1
15,2.94729,-10.4377,-0.928304,1.0382,0.974115,0.99225,0.990215,0.748689,0.312474,0.00121506,0,0,1
16,5.10393,18.216,1.52769,0.918869,1.01429,1.01388,1.02816,0.816364,-0.20553,-0.00030453,0,0,1
17,30.2267,-113.114,-15.9599,0.863183,1.01386,1.00632,1.0025,1.03227,0.131057,-0.00152853,0,0,1
18,58.0256,210.156,-19.4875,0.9108,0.993092,0.999341,1.00458,1.03829,0.0279415,-0.000833159,0,0,1
19,8.03325,28.9257,3.06248,1.43019,1.00372,1.01244,1.02093,0.724235,-0.195667,0.000918156,0,0,1
20,12.1107,43.1918,2.80285,0.769761,0.988891,1.00102,0.980047,0.827374,-0.0777046,-0.000255593,0,0,1
21,5.27989,-18.8546,-1.64956,1.37881,1.01458,0.996992,0.97094,0.776302,0.211822,0.000158218,0,0,1
22,14.7415,52.3711,-0.815278,1.24943,0.95255,0.980463,1.01609,1.03498,0.0149759,-0.00154849,0,0,1
23,16.5687,60.4613,6.76217,0.900109,1.02513,0.993749,0.977047,0.837241,-0.119874,0.000812364,0,0,1
24,62.9034,227.851,21.6987,0.881012,1.01101,1.00611,0.965469,1.28344,-0.0265026,0.000140144,0,0,1
25,5.44797,-19.5117,-1.87184,0.947307,1.02323,1.0073,1.00621,1.15323,0.229485,-0.000269664,0,0,1
26,40.2999,152.424,20.0809,1.06892,0.979506,0.999388,1.00728,1.29414,-0.133441,0.00172768,0,0,1
27,4.7843,17.0847,1.55094,0.695278,1.01192,1.02033,0.984489,1.12539,-0.234765,-2.68608e-05,0,0,1
28,4.10164,14.6195,1.30503,1.33947,0.994693,0.982095,1.01091,1.07093,-0.258848,-0.000449429,0,0,1
29,17.766,-63.8915,-5.82506,0.972754,0.987579,1.00666,1.00138,0.760122,0.0839362,-0.000354335,0,0,1
30,6.2131,22.214,1.91806,0.943839,1.00679,1.00519,0.985413,1.0626,-0.185318,1.74354e-05,0,0,1
31,13.6961,48.7059,0.637105,0.793367,1.0191,0.984286,1.01024,1.06337,-0.0137155,-0.00124123,0,0,1
32,290.348,-1143.48,-59.462,1.23982,1.00251,1.00378,0.982491,0.858477,-0.0492922,0.000973114,0,0,1
33,4.88795,-17.3676,-1.26401,0.787356,0.992297,1.00436,1.006,0.795983,0.180812,0.000847798,0,0,1
34,3.3125,11.8766,1.46124,0.806619,1.00012,1.00281,0.995973,1.03948,-0.427328,0.00132144,0,0,1
35,2.52976,8.93678,0.731329,0.836847,0.975217,1.01754,1.00348,0.630826,-0.308931,-0.00209156,0,0,1
36,4.80409,-17.0728,-1.41347,1.08142,0.97522,0.993622,1.01224,0.850494,0.211481,0.000389038,0,0,1
37,191.435,780.085,-112.007,0.835662,0.96186,0.997376,1.00049,0.989399,-0.0864646,0.00133752,0,0,1
38,6.92282,-24.6038,-1.14538,1.46428,1.01889,1.01045,0.979647,0.931098,0.0872956,0.00132732,0,0,1
39,3.64422,-12.9366,-1.23271,0.7045,0.97873,1.01892,0.969252,1.30591,0.294707,0.000106398,0,0,1
40,6.44753,23.1019,2.13973,0.935563,1.01417,0.993376,1.06311,1.27047,-0.19596,0.000237277,0,0,1
41,22.6143,-80.1848,-2.7866,1.31347,0.990141,1.00668,0.999287,1.42399,0.0229148,0.000447998,0,0,1
42,25.5471,90.88,1.53071,1.0288,1.00362,1.00522,1.01235,0.999443,-0.00971045,-0.000590276,0,0,1
43,6.81481,-24.2211,-1.20111,0.997079,1.01468,0.99226,1.00066,1.23991,0.0952804,0.00129485,0,0,1
44,45.3874,164.807,-16.5425,1.22237,0.991928,0.999406,0.960817,1.3053,0.0396197,-0.00113598,0,0,1
45,4.33685,-15.3405,-0.968006,0.705536,0.973672,1.00847,1.00848,1.23989,0.167836,0.00145007,0,0,1
46,5.20956,-18.5472,-1.35169,1.0823,0.98785,0.990351,0.919558,1.09803,0.174758,0.000759059,0,0,1
47,195.3,769.159,16.4747,1.1377,1.00945,1.01138,1.00866,0.736717,0.0680466,-0.00135217,0,0,1
48,21.6571,77.9952,5.91261,0.981431,1.02488,0.986417,0.99417,1.30384,-0.0567931,3.27225e-05,0,0,1
49,36.8541,-131.175,2.6748,1.07176,1.03804,1.00716,0.947867,0.788542,-0.00866742,0.000695009,0,0,1
50,227.585,-952.26,-193.168,0.85839,0.986804,1.00685,0.980257,0.753933,-0.0787484,0.00151956,0,0,1
51,12.131,43.0804,2.04129,1.30377,0.981948,0.991508,0.981949,0.864895,-0.0553747,-0.000639771,0,0,1
52,15.7121,55.7865,-1.66142,1.02609,0.989735,1.00725,1.03201,0.968023,0.02691,-0.00168493,0,0,1
53,4.30073,-15.4026,-1.43659,1.12329,1.02451,0.98703,1.05876,1.00173,0.262994,0.00026227,0,0,1
54,24.9467,89.6324,7.1636,0.937461,1.00073,0.996488,0.969358,1.16083,-0.0523597,0.000108984,0,0,1
55,4.639,16.4605,0.742078,1.04403,1.0051,0.996849,1.01279,1.17966,-0.1137,-0.00228805,0,0,1
56,10.4999,37.6996,3.45461,0.903016,1.01102,1.00328,0.988494,0.975038,-0.131884,0.000375116,0,0,1
57,8.88173,-31.4726,-1.65663,1.04984,0.980793,1.01151,1.04411,1.25326,0.0800663,0.000739177,0,0,1
58,4.22908,-15.0513,-1.17911,0.979906,1.01131,1.00212,1.00293,0.688961,0.217674,0.000942175,0,0,1
59,20.1497,-71.7111,-2.69316,1.10807,0.994157,0.987441,0.976119,1.41618,0.0283428,0.000487358,0,0,1
60,18.8882,-67.7924,-5.72992,1.05647,1.00993,1.00172,1.01808,1.22617,0.0726352,-0.000198948,0,0,1
61,3.50984,-12.5374,-1.28324,0.848405,1.02231,1.00307,0.984881,0.962519,0.329005,9.29314e-05,0,0,1
62,8.53323,-30.2461,-1.64525,0.863294,0.977643,1.00409,1.00591,1.10652,0.0859694,0.000739612,0,0,1
63,4.54628,-16.3177,-1.66465,1.01998,1.01253,0.981835,1.03322,1.18988,0.282051,-0.000331158,0,0,1
64,3.61755,-12.8456,-1.06289,1.11591,0.985211,0.995884,0.965967,1.09647,0.255324,0.000999564,0,0,1
65,24.5102,-87.0568,3.54165,1.09391,0.997279,1.03006,0.992492,1.18335,-0.0246511,0.00119424,0,0,1
66,113.886,-452.542,36.7129,0.661654,0.980176,0.993676,0.954791,0.90116,0.133792,-0.00204435,0,0,1
67,3.19535,-11.3375,-0.922349,1.35964,0.995109,1.00276,1.05251,0.963151,0.269947,0.00146603,0,0,1
68,12.2828,44.879,5.41101,0.951807,1.00689,0.991534,1.0019,0.480524,-0.172761,0.00129729,0,0,1
69,47.0868,167.48,-1.61941,1.02599,0.989387,0.995542,1.04195,0.788312,0.00304367,-0.000464063,0,0,1
70,7.80234,27.7663,1.31148,0.774708,1.01825,1.00721,0.98684,1.1857,-0.0804563,-0.00113365,0,0,1
71,59.5901,-215.992,21.818,0.744393,1.00895,1.01503,1.01303,1.17882,-0.0311013,0.000881014,0,0,1
72,225.94,874.393,26.5188,0.907817,0.991305,1.00235,1.03245,1.04113,-0.0494366,0.000728073,0,0,1
73,5.76661,-20.5011,-1.5155,1.05045,0.979049,0.991491,1.03257,1.2517,0.16398,0.000545379,0,0,1
74,5.98587,21.3277,1.45097,0.910036,1.00759,0.99117,1.01834,0.967143,-0.146729,-0.000810153,0,0,1
75,16.4239,-58.3326,-1.08538,1.0265,1.00349,1.00117,0.987642,0.832479,0.0165213,0.000900642,0,0,1
76,14.7485,54.0528,6.92533,1.00215,0.983855,0.990096,0.991545,0.910536,-0.165033,0.00145556,0,0,1
77,40.9977,147.747,13.1133,1.13873,0.975226,1.00188,1.0436,0.964544,-0.036531,0.000160237,0,0,1
78,5.94739,21.3584,2.24051,0.513913,1.00391,1.02331,1.01225,0.881208,-0.240348,0.000878695,0,0,1
79,5.86151,-20.8492,-1.28822,0.914742,1.01829,1.00606,0.991362,0.847999,0.13379,0.00106849,0,0,1
80,16.3044,-58.35,-4.22102,1.07855,1.00414,1.00591,0.931306,1.13695,0.0688863,1.20856e-05,0,0,1
81,52.6714,-197.584,-26.8909,0.957705,0.986195,0.996763,0.981195,0.879572,0.0770751,-0.000914707,0,0,1
82,8.11117,-28.7714,-1.11179,0.786493,0.98774,0.986569,1.02392,0.871025,0.0636567,0.00131673,0,0,1
83,6.69683,-23.7028,-0.534449,0.786806,0.991225,0.993072,1.01733,0.883101,0.0426132,0.00217161,0,0,1
84,13.46,-48.157,-3.54403,1.15814,0.996735,0.989626,1.03898,1.2227,0.0838651,2.88024e-05,0,0,1
85,4.96589,17.7995,1.80376,0.992209,1.00632,0.982887,1.02522,1.53514,-0.263308,0.000419231,0,0,1
86,245.615,-931.185,-92.0181,1.01195,0.998241,0.995877,1.00476,0.59187,0.0313364,-0.000435699,0,0,1
87,8.64949,-30.9126,-2.40344,1.18079,1.00508,1.00513,0.945402,0.999994,0.127843,6.70975e-05,0,0,1
88,24.6899,-92.3595,-13.178,1.15815,1.01919,1.0114,1.01107,1.56295,0.157561,-0.00182437,0,0,1
89,15.66,-55.8122,0.677254,1.16065,1.03203,0.979922,0.979875,0.633551,-0.0115183,0.00151892,0,0,1
90,8.70046,30.8685,1.76682,1.24951,0.975254,0.993033,1.01075,0.998443,-0.0894118,-0.000667038,0,0,1
91,15.3531,-54.3561,0.440605,0.99246,0.97273,0.980602,0.975101,0.760273,-0.00764067,0.00139744,0,0,1
92,6.42276,-22.83,-1.19719,0.800494,1.0247,0.994189,1.03048,1.2234,0.1053,0.00132571,0,0,1
93,24.6746,-87.7533,-1.07312,0.928003,1.01766,1.00169,1.00116,0.84534,0.00757557,0.000669405,0,0,1
94,7.88556,28.2413,2.43361,0.670439,0.995866,1.00664,1.01708,0.611769,-0.153941,0.0001828,0,0,1
95,7.2753,25.9977,2.10316,0.881276,1.00879,0.993977,1.00198,0.919968,-0.153244,-0.00011149,0,0,1
96,486.711,-6564.87,334.358,1.34597,0.993541,1.00686,0.994026,1.05134,0.0516764,-0.000878482,0,0,1
97,8.57663,30.4474,1.12572,0.920712,0.960158,1.01175,1.0388,1.39394,-0.0563575,-0.00116431,0,0,1
